Date,Translated version,Original tweet,Media source link
2018-05-23,Comedy or Asfaf? https://t.co/RDQIZfqtN9,كوميديا ام اسفاف ؟ https://t.co/RDQIZfqtN9,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999101472968269825"", ""Access details here"")"
2018-05-22,"Imamskaya 7 # Ramadan accept God fasting .. Azan dawn
Azan of Morocco
#Ramadan_Shi https://t.co/cyisfS9MYC","إمساكية 7 #رمضان   تقبل الله صيامكم .. أذان الفجر 3:21
أذان المغرب 6:38
#رمضان_صحي https://t.co/cyisfS9MYC","=HYPERLINK(""http://twitter.com/Almajlliss/status/999077333423312897"", ""Access details here"")"
2018-05-22,"Part of the searches of the people of Kuwait about their lost son.
# قواكم_الله https://t.co/1FcEb0EE4c","جانب من عمليات بحث أهل الكويت عن ولدهم المفقود #سعود_المسلم .
#قواكم_الله https://t.co/1FcEb0EE4c","=HYPERLINK(""http://twitter.com/Almajlliss/status/999076453969997826"", ""Access details here"")"
2018-05-22,"An important message in the concept of homeland and citizenship, presented today by the young creative # Hussain_Klender in his program # Distinguished program, on the ... https://t.co/1OKoDDhl6e",رسالة مهمة في مفهوم الوطن والمواطنة، قدمها اليوم الشاب المبدع #حسين_كلندر في برنامجه المميز #برنامج_رسالتي ، على تل… https://t.co/1OKoDDhl6e,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999072069257134081"", ""Access details here"")"
2018-05-22,RT @Almajlliss: Video / Diffusion «Fashion» Walking before breakfast in commercial complexes. https://t.co/99RiuBIRyJ,RT @Almajlliss: فيديو / إنتشار «موضة» رياضة المشي قبل الإفطار داخل المجمعات التجارية. https://t.co/99RiuBIRyJ,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999065953077022725"", ""Access details here"")"
2018-05-22,Video / A special presence in the Ghabqa lawyer Muhannad Al - Sayer. https://t.co/lCYZFvBKXC,فيديو / حضور مميز في غبقة المحامي مهند الساير. https://t.co/lCYZFvBKXC,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999056708067561477"", ""Access details here"")"
2018-05-22,"A copy of the lawyer Muhannad al-Sayer with his ""uncle"" cousin Abdullah al-Khalaf al-Saeed. https://t.co/tOTFanHMrI",صورة / من غبقة المحامي مهند الساير مع «خواله» أبناء العم عبدالله الخلف السعيد رحمه الله. https://t.co/tOTFanHMrI,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999054566334361600"", ""Access details here"")"
2018-05-22,HH The Amir visiting the National Guard and receiving HH Sheikh Salem Al Ali. https://t.co/fk2wzP87dN,سمو الأمير حفظه الله ورعاه يزور الحرس الوطني وفي استقباله سمو الشيخ سالم العلي. https://t.co/fk2wzP87dN,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999047347043733505"", ""Access details here"")"
2018-05-22,"HH Sheikh Sabah Al-Ahmad Al-Ahmad Al-Sabah, Crown Prince Sheikh Nawaf Al-Ahmad and His Highness Shaikh Khalifa bin Salim ...",صورة تجمع سمو الأمير الشيخ صباح الاحمد حفظه الله ورعاه وسمو وولي العهد الشيخ نواف الاحمد مع صاحب الشيخ خليفة بن سلم… https://t.co/nGN8lFqrN2,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999046004681920512"", ""Access details here"")"
2018-05-22,"Efforts exerted by MP Dr. Mohammed al-Huwailah to solve the file of Wafra road, and a promise from the minister to close the road on trucks ... https://t.co/nEEBF8zz7W",جهود حثيثة يقوم بها النائب د. محمد الحويلة لحلحلة ملف طريق الوفرة يقابلها وعد من الوزير باغلاق الطريق على الشاحنات… https://t.co/nEEBF8zz7W,"=HYPERLINK(""http://twitter.com/Almajlliss/status/999045072967688192"", ""Access details here"")"
