Date,Translated version,Original tweet,Media source link
2018-05-23,"...Follow the money! The spy was there early in the campaign and yet never reported Collusion with Russia, because… https://t.co/gJGldziTWv","...Follow the money! The spy was there early in the campaign and yet never reported Collusion with Russia, because… https://t.co/gJGldziTWv","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999096013674680321"", ""Access details here"")"
2018-05-23,If the person placed very early into my campaign wasn’t a SPY put there by the previous Administration for politica… https://t.co/GNhqCqfGkm,If the person placed very early into my campaign wasn’t a SPY put there by the previous Administration for politica… https://t.co/GNhqCqfGkm,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999096011174924289"", ""Access details here"")"
2018-05-23,"For the first time since Roe v. Wade, America has a Pro-Life President, a Pro-Life Vice President, a Pro-Life House… https://t.co/waNyHutAab","For the first time since Roe v. Wade, America has a Pro-Life President, a Pro-Life Vice President, a Pro-Life House… https://t.co/waNyHutAab","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999087688983764992"", ""Access details here"")"
2018-05-22,It was my honor to welcome @NASCAR Cup Series Champion @MartinTruex_Jr and his team to the @WhiteHouse yesterday! https://t.co/5cr2oybrnQ,It was my honor to welcome @NASCAR Cup Series Champion @MartinTruex_Jr and his team to the @WhiteHouse yesterday! https://t.co/5cr2oybrnQ,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999010902472122368"", ""Access details here"")"
2018-05-22,"Today, it was my great honor to welcome President Moon Jae-in of the Republic of Korea to the @WhiteHouse! https://t.co/yvOxNiA1DM","Today, it was my great honor to welcome President Moon Jae-in of the Republic of Korea to the @WhiteHouse! https://t.co/yvOxNiA1DM","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998992271629570048"", ""Access details here"")"
2018-05-21,".@AsaHutchinson, the great Governor of Arkansas, is in a primary tomorrow. He has done an incredible job with a foc… https://t.co/4RuRB3hBT5",".@AsaHutchinson, the great Governor of Arkansas, is in a primary tomorrow. He has done an incredible job with a foc… https://t.co/4RuRB3hBT5","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998704493335334912"", ""Access details here"")"
2018-05-21,"Under our potential deal with China, they will purchase from our Great American Farmers practically as much as our Farmers can produce.","Under our potential deal with China, they will purchase from our Great American Farmers practically as much as our Farmers can produce.","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998553122179084290"", ""Access details here"")"
2018-05-21,"The Wall Street Journal asks, “WHERE IN THE WORLD WAS BARACK OBAMA?”  A very good question!","The Wall Street Journal asks, “WHERE IN THE WORLD WAS BARACK OBAMA?”  A very good question!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998546786628395009"", ""Access details here"")"
2018-05-21,...they then used to start an investigation about Trump. It is that simple. This guy is the genesis of this whole D… https://t.co/UJkGIqjIwi,...they then used to start an investigation about Trump. It is that simple. This guy is the genesis of this whole D… https://t.co/UJkGIqjIwi,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998537117180588033"", ""Access details here"")"
2018-05-21,....top of the FBI. Brennan started this entire debacle about President Trump. We now know that Brennan had detaile… https://t.co/HnquHM9Wtq,....top of the FBI. Brennan started this entire debacle about President Trump. We now know that Brennan had detaile… https://t.co/HnquHM9Wtq,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998534123399663616"", ""Access details here"")"
Date,Translated version,Original tweet,Media source link
2018-05-23,"...Follow the money! The spy was there early in the campaign and yet never reported Collusion with Russia, because… https://t.co/gJGldziTWv","...Follow the money! The spy was there early in the campaign and yet never reported Collusion with Russia, because… https://t.co/gJGldziTWv","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999096013674680321"", ""Access details here"")"
2018-05-23,If the person placed very early into my campaign wasn’t a SPY put there by the previous Administration for politica… https://t.co/GNhqCqfGkm,If the person placed very early into my campaign wasn’t a SPY put there by the previous Administration for politica… https://t.co/GNhqCqfGkm,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999096011174924289"", ""Access details here"")"
2018-05-23,"For the first time since Roe v. Wade, America has a Pro-Life President, a Pro-Life Vice President, a Pro-Life House… https://t.co/waNyHutAab","For the first time since Roe v. Wade, America has a Pro-Life President, a Pro-Life Vice President, a Pro-Life House… https://t.co/waNyHutAab","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999087688983764992"", ""Access details here"")"
2018-05-22,It was my honor to welcome @NASCAR Cup Series Champion @MartinTruex_Jr and his team to the @WhiteHouse yesterday! https://t.co/5cr2oybrnQ,It was my honor to welcome @NASCAR Cup Series Champion @MartinTruex_Jr and his team to the @WhiteHouse yesterday! https://t.co/5cr2oybrnQ,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/999010902472122368"", ""Access details here"")"
2018-05-22,"Today, it was my great honor to welcome President Moon Jae-in of the Republic of Korea to the @WhiteHouse! https://t.co/yvOxNiA1DM","Today, it was my great honor to welcome President Moon Jae-in of the Republic of Korea to the @WhiteHouse! https://t.co/yvOxNiA1DM","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998992271629570048"", ""Access details here"")"
2018-05-21,".@AsaHutchinson, the great Governor of Arkansas, is in a primary tomorrow. He has done an incredible job with a foc… https://t.co/4RuRB3hBT5",".@AsaHutchinson, the great Governor of Arkansas, is in a primary tomorrow. He has done an incredible job with a foc… https://t.co/4RuRB3hBT5","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998704493335334912"", ""Access details here"")"
2018-05-21,"Under our potential deal with China, they will purchase from our Great American Farmers practically as much as our Farmers can produce.","Under our potential deal with China, they will purchase from our Great American Farmers practically as much as our Farmers can produce.","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998553122179084290"", ""Access details here"")"
2018-05-21,"The Wall Street Journal asks, “WHERE IN THE WORLD WAS BARACK OBAMA?”  A very good question!","The Wall Street Journal asks, “WHERE IN THE WORLD WAS BARACK OBAMA?”  A very good question!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998546786628395009"", ""Access details here"")"
